annee;cnc_numero;visa;titre;genre;nationalite;distributeur;classification;date_sortie;art_et_essai;etablissements_s1;titre_clean;distributeur_clean
2003;2002093197;102458;THE GOOD THIEF;POLICIER;GRANDE BRETAGNE / FRANCE;TFM DISTRIBUTION;TP;2003-08-13;OUI;115;the good thief;tfm distribution
2014;2014000178;138970;THE GRAND BUDAPEST HOTEL;COMEDIE;ETATS UNIS;TWENTIETH CENTURY FOX FRANCE INC                                ;TP;2014-02-26;OUI;179;the grand budapest hotel;twentieth century fox france inc                                
2013;2013000745;136261;THE GRANDMASTER;AVENTURES;CHINE;WILD BUNCH                                                      ;TP;2013-04-17;OUI;275;the grandmaster;wild bunch                                                      
2006;2006393022;113274;THE GREAT ECSTASY OF ROBERT CARMICHAEL;DRAME;GRANDE BRETAGNE;PRETTY PICTURES                                                 ;16A;2006-04-26;OUI;22;the great ecstasy of robert carmichael;pretty pictures                                                 
2012;2012000773;133128;THE GREAT GHOST RESCUE;FANTASTIQUE;GRANDE BRETAGNE;CTV INTERNATIONAL                                               ;TP;2012-04-05;NON;1;the great ghost rescue;ctv international                                               
2020;2020001043;152892;THE GREAT GREEN WALL;DOCUMENTAIRE;GRANDE BRETAGNE;L’ATELIER DISTRIBUTION;TP;2020-06-22;NON;8;the great green wall;l’atelier distribution
2018;2017004666;147891;THE GREATEST SHOWMAN;BIOGRAPHIE;ETATS UNIS;TWENTIETH CENTURY FOX FRANCE INC                                ;TP;2018-01-24;;367;the greatest showman;twentieth century fox france inc                                
2011;2010001288;126468;THE GREEN HORNET;AVENTURES;ETATS UNIS;SONY PICTURES RELEASING (FRANCE)                                ;TP;2011-01-12;NON;532;the green hornet;sony pictures releasing (france)                                
2020;2019005010;152178;THE GRUDGE;HORREUR;ETATS UNIS;SONY PICTURES ENTERTAINMENT;12;2020-01-15;NON;182;the grudge;sony pictures entertainment
2004;2004294003;111786;THE GRUDGE;HORREUR;ETATS UNIS;METROPOLITAN FILMEXPORT                                         ;12;2004-12-29;NON;338;the grudge;metropolitan filmexport                                         
2018;2018002672;149139;THE GUILTY;THRILLER;DANEMARK;ARP MERMOZ;TPA;2018-07-18;OUI;76;the guilty;arp mermoz
