annee;cnc_numero;visa;titre;genre;nationalite;distributeur;classification;date_sortie;art_et_essai;etablissements_s1;titre_clean;distributeur_clean
2007;2007673024;116722;LA COULEUR DES MOTS;DRAME;BELGIQUE;CQFD;TP;2007-01-17;OUI;2;la couleur des mots;cqfd
2011;2011002326;131176;LA COULEUR DES SENTIMENTS;DRAME;ETATS UNIS;THE WALT DISNEY COMPANY FRANCE                                  ;TP;2011-10-26;NON;281;la couleur des sentiments;the walt disney company france                                  
2003;2003293684;108830;LA COULEUR DU MENSONGE;DRAME;ETATS UNIS;EUROPACORP DISTRIBUTION                                         ;TP;2003-10-29;NON;197;la couleur du mensonge;europacorp distribution                                         
2001;2001983068;099970;LA COULEUR DU PARADIS;DRAME;IRAN;MARS FILMS;TP;2001-01-24;OUI;21;la couleur du paradis;mars films
2024;2023006470;161091;COULEUR POURPRE (LA);MUSICAL;USA;WARNER BROS. ENTERTAINMENT FRANCE;TP;2024-01-24;;273;la couleur pourpre;warner bros. entertainment france
2000;2000993144;099240;LA COUPE;COMEDIE;BHOUTAN / AUSTRALIE;PYRAMIDE                                                        ;TP;2000-03-15;OUI;97;la coupe;pyramide                                                        
2000;2000393730;100299;LA COUPE D OR;DRAME;GRANDE BRETAGNE;FILMS SANS FRONTIERES                                           ;TP;2000-09-13;OUI;90;la coupe d or;films sans frontieres                                           
2000;2000993133;097244;LA COUR;COMEDIE DRAMATIQUE;LITUANIE;CDC DISTRIBUTION;TP;2000-03-08;OUI;3;la cour;cdc distribution
2014;2013000692;136231;LA COUR DE BABEL;DOCUMENTAIRE;FRANCE;PYRAMIDE                                                        ;TP;2014-03-12;OUI;106;la cour de babel;pyramide                                                        
2001;2001283443;102201;LA COUR DE RECRE;ANIMATION;ETATS UNIS;GAUMONT BUENA VISTA INTERNATIONAL;TP;2001-07-11;NON;257;la cour de recre;gaumont buena vista international
2022;2020003855;154144;LA COUR DES MIRACLES;COMEDIE;FRANCE;HAUT ET COURT DISTRIBUTION;TP;2022-09-28;OUI;194;la cour des miracles;haut et court distribution
1996;1996283728;090557;LA COURSE AU JOUET;COMEDIE;ETATS UNIS;UFD;TP;1996-12-11;NON;360;la course au jouet;ufd
2023;2023005251;161231;LA COURSE AU MIEL;ANIMATION;POLOGNE;EUROZOOM;TP;2023-11-22;NON;91;la course au miel;eurozoom
2023;2023001687;159336;LA COURSE AUX ŒUFS;ANIMATION;MEXIQUE;ALBA FILMS;TP;2023-04-12;NON;314;la course aux œufs;alba films
2015;2015003041;143309;LA COURSE DU SIECLE;ANIMATION;ALLEMAGNE;GEBEKA FILMS                                                    ;TP;2015-10-21;OUI;118;la course du siecle;gebeka films                                                    
1999;1999293346;096644;LA COURTISANE;COMEDIE DRAMATIQUE;ETATS UNIS;UFD;TP;1999-06-09;NON;114;la courtisane;ufd
2020;2019005179;151929;LA CRAVATE;DOCUMENTAIRE;FRANCE;NOUR FILMS;TP;2020-02-05;OUI;61;la cravate;nour films
2014;2011000968;129574;LA CREME DE LA CREME;COMEDIE DRAMATIQUE;FRANCE;WILD BUNCH DISTRIBUTION                                         ;TPA;2014-04-02;NON;209;la creme de la creme;wild bunch distribution                                         
2021;2020000270;152331;LA CROISADE;COMEDIE;FRANCE;AD VITAM;TP;2021-12-22;OUI;98;la croisade;ad vitam
2011;2010000579;125766;LA CROISIERE;COMEDIE;FRANCE;MARS FILMS                                                      ;TP;2011-04-20;NON;402;la croisiere;mars films                                                      
2016;2012001616;133624;LA CRYPTE;DRAME;ROUMANIE / FRANCE;BODEGA FILMS                                                    ;TP;2016-04-27;NON;5;la crypte;bodega films                                                    
2006;2005293974;113963;LA CRYPTE;HORREUR;ETATS UNIS;GAUMONT COLUMBIA TRISTAR FILMS;12;2006-01-11;NON;139;la crypte;gaumont columbia tristar films
2021;2021001467;155314;LA CURE;COMEDIE;FRANCE;SHELLAC;TP;2021-09-08;NON;2;la cure;shellac
2015;2014003909;131349;LA DAME DANS L'AUTO AVEC DES LUNETTES ET UN FUSIL;THRILLER;FRANCE / BELGIQUE;WILD BUNCH DISTRIBUTION                                         ;TP;2015-08-05;NON;142;la dame dans l auto avec des lunettes et un fusil;wild bunch distribution                                         
2012;2011001598;130281;LA DAME DE FER;DRAME;GRANDE BRETAGNE;PATHE DISTRIBUTION                                              ;TP;2012-02-15;NON;190;la dame de fer;pathe distribution                                              
2010;1900026346;120751;LA DAME DE TREFLE;DRAME;FRANCE;LE PACTE                                                        ;TP;2010-01-13;OUI;58;la dame de trefle;le pacte                                                        
1998;1998393391;094319;LA DAME DE WINDSOR;COMEDIE DRAMATIQUE;GRANDE BRETAGNE;LES ACACIAS                                                     ;TP;1998-03-25;OUI;13;la dame de windsor;les acacias                                                     
1998;1998093647;087262;LA DAME DU JEU;COMEDIE;FRANCE / ITALIE;INCONNU;TP;1998-10-28;NON;;la dame du jeu;inconnu
2012;2011002593;131159;LA DAME EN NOIR;THRILLER;GRANDE BRETAGNE;METROPOLITAN FILMEXPORT                                         ;12;2012-03-14;NON;262;la dame en noir;metropolitan filmexport                                         
2015;2014003952;141376;LA DAME EN NOIR 2 : L'ANGE DE LA MORT;HORREUR;GRANDE BRETAGNE;METROPOLITAN FILMEXPORT                                         ;12;2015-01-14;NON;193;la dame en noir 2 : l ange de la mort;metropolitan filmexport                                         
2024;2022001501;156636;"	LA DAMNEE";HORREUR;FRANCE;STAR INVEST FILMS FRANCE;12;2024-10-02;;81;la damnee;star invest films france
2009;1900025661;118742;LA DANSE;DOCUMENTAIRE;FRANCE;SOPHIE DULAC DISTRIBUTION                                       ;TP;2009-10-07;OUI;14;la danse;sophie dulac distribution                                       
2008;2008073728;113327;LA DANSE DE L ENCHANTERESSE;DOCUMENTAIRE;FRANCE;LES FILMS DU PARADOXE                                           ;TP;2008-10-08;OUI;6;la danse de l enchanteresse;les films du paradoxe                                           
2003;2003993136;107229;LA DANSE DE LA CIGOGNE;COMEDIE DRAMATIQUE;VIETNAM;LVP DISTRIBUTION;TP;2003-04-02;OUI;2;la danse de la cigogne;lvp distribution
2016;2015004272;143711;LA DANSE DES ACCROCHÉS;THRILLER;FRANCE;CABOCHE;TP;2016-12-07;NON;1;la danse des accrochés;caboche
2020;2020000377;152670;LA DANSE DU SERPENT;DRAME;FRANCE;EUROZOOM;TP;2020-03-04;OUI;19;la danse du serpent;eurozoom
1998;1999083791;094307;LA DANSE DU VENT;COMEDIE DRAMATIQUE;ALLEMAGNE / FRANCE;PIERRE GRISE DISTRIBUTION                                       ;TP;1998-04-29;OUI;1;la danse du vent;pierre grise distribution                                       
2016;2015002442;142843;LA DANSEUSE;HISTOIRE;FRANCE / BELGIQUE / REPUBLIQUE TCHEQUE;WILD BUNCH DISTRIBUTION                                         ;TP;2016-09-28;OUI;255;la danseuse;wild bunch distribution                                         
2013;2013000537;136118;LA DANZA DE LA REALIDAD;DRAME PSYCHOLOGIQUE;CHILI / FRANCE;PATHE DISTRIBUTION                                              ;TPA;2013-09-04;OUI;26;la danza de la realidad;pathe distribution                                              
2020;2018005015;149803;DARONNE (LA);POLICIER;FRANCE;LE PACTE;TP;2020-09-09;NON;584;la daronne;le pacte
1999;1999093666;096228;LA DEBANDADE;COMEDIE;FRANCE;PATHE DISTRIBUTION                                              ;TP;1999-10-06;NON;372;la debandade;pathe distribution                                              
2021;2018001036;;LA DEESSE AGENOUILLEE;DRAME;MEXIQUE;LES FILMS DU CAMELIA;TP;2021-12-15;NON;2;la deesse agenouillee;les films du camelia
2021;2020001974;155203;LA DEESSE DES MOUCHES A FEU;DRAME;CANADA;LES ALCHIMISTES;12;2021-11-10;OUI;14;la deesse des mouches a feu;les alchimistes
2011;2011000902;129778;LA DEFENSE LINCOLN;COMEDIE DRAMATIQUE;ETATS UNIS;METROPOLITAN FILMEXPORT                                         ;TP;2011-05-25;NON;239;la defense lincoln;metropolitan filmexport                                         
2001;2001093247;098025;LA DEFENSE LOUJINE;COMEDIE DRAMATIQUE;GRANDE BRETAGNE / FRANCE;UFD;TP;2001-04-25;OUI;32;la defense loujine;ufd
2016;2015003114;2015003114;LA DEFERLANTE;DOCUMENTAIRE;FRANCE;VEO CINEMAS                                                     ;TP;2016-09-28;NON;1;la deferlante;veo cinemas                                                     
2022;2021000593;154841;LA DEGUSTATION;COMEDIE;FRANCE;STUDIOCANAL;TP;2022-08-31;NON;454;la degustation;studiocanal
2003;2002083009;096963;LA DELATION SOUS L OCCUPATION;DOCUMENTAIRE;FRANCE;ARTEDIS                                                         ;TP;2003-11-12;OUI;6;la delation sous l occupation;artedis                                                         
2020;2017002735;147062;LA DELEGATION;DRAME;FRANCE;BAGAN FILMS;TP;2020-07-22;NON;8;la delegation;bagan films
2011;2011000276;127180;LA DELICATESSE;COMEDIE;FRANCE;STUDIOCANAL                                                     ;TP;2011-12-21;NON;359;la delicatesse;studiocanal                                                     
2004;2004093740;107930;LA DEMOISELLE D HONNEUR;COMEDIE DRAMATIQUE;FRANCE / ALLEMAGNE;SOCIETE D’EXPLOITATION DES FILMS MAJESTIC;TP;2004-11-17;OUI;329;la demoiselle d honneur;societe d’exploitation des films majestic
2024;2024002068;161729;LA DEPOSITION;DOCUMENTAIRE;FRANCE;SHELLAC;TP;2024-10-23;OUI;25;la deposition;shellac
2022;2021000910;155021;LA DERIVE DES CONTINENTS (AU SUD);DRAME;SUISSE;LES FILMS DU LOSANGE;TP;2022-08-24;OUI;98;la derive des continents (au sud);les films du losange
1997;1997293589;092969;LA DERNIERE CAVALE (TRUTH OR CONSEQUENCES, N.M.);AVENTURES;ETATS UNIS;SONY PICTURES TELEVISION DISTRIBUTION (FRANCE)                  ;16;1997-12-24;NON;5;la derniere cavale (truth or consequences, n.m.);sony pictures television distribution (france)                  
2024;2023000800;158916;LA DERNIERE DANSE;DRAME;FRANCE;LAUGIER ALEXANDRE;TP;2024-01-10;;5;la derniere danse;laugier alexandre
2013;2012001496;133564;LA DERNIERE FOIS QUE J AI VU MACAO;THRILLER;PORTUGAL / FRANCE;EPICENTRE FILMS                                                 ;TP;2013-05-29;OUI;16;la derniere fois que j ai vu macao;epicentre films                                                 
2019;2018000345;144011;DERNIERE FOLIE DE CLAIRE DARLING (LA);COMEDIE DRAMATIQUE;FRANCE;PYRAMIDE                                                        ;TP;2019-02-06;OUI;118;la derniere folie de claire darling;pyramide                                                        
2015;2014002643;139375;LA DERNIERE LECON;COMEDIE DRAMATIQUE;FRANCE;WILD BUNCH                                                      ;TP;2015-11-04;NON;276;la derniere lecon;wild bunch                                                      
2007;2007093193;113257;LA DERNIERE LEGION;AVENTURES;GRANDE BRETAGNE / ITALIE / SLOVAQUIE / FRANCE / TUNISIE;QUINTA COMMUNICATIONS SA                                        ;TP;2007-09-19;NON;264;la derniere legion;quinta communications sa                                        
2002;2002073628;087959;LA DERNIERE LETTRE;DRAME;FRANCE;AD VITAM                                                        ;TP;2002-11-13;OUI;14;la derniere lettre;ad vitam                                                        
2009;2009293383;122953;LA DERNIERE MAISON SUR LA GAUCHE;HORREUR;ETATS UNIS;UNIVERSAL PICTURES INTERNATIONAL FRANCE SAS                     ;16;2009-04-22;NON;92;la derniere maison sur la gauche;universal pictures international france sas                     
1996;1996293220;089497;LA DERNIERE MARCHE;DRAME;ETATS UNIS;PARAMOUNT PICTURES FRANCE                                       ;TPA;1996-03-27;OUI;116;la derniere marche;paramount pictures france                                       
2014;2014001733;139766;LA DERNIERE NUIT;DRAME;FRANCE;LES FILMS A FLEUR DE PEAU                                       ;TP;2014-06-25;NON;4;la derniere nuit;les films a fleur de peau                                       
2022;2022003116;157465;LA DERNIERE NUIT DE LISE BROHOLM;DRAME;DANEMARK;UFO DISTRIBUTION;TPA;2022-09-21;OUI;42;la derniere nuit de lise broholm;ufo distribution
2011;2011001276;129908;LA DERNIERE PISTE;AVENTURES;ETATS UNIS;PRETTY PICTURES                                                 ;TP;2011-06-22;OUI;30;la derniere piste;pretty pictures                                                 
1998;1998293287;093092;LA DERNIERE PREUVE;POLICIER;ETATS UNIS;OPENING                                                         ;TPA;1998-07-22;NON;61;la derniere preuve;opening                                                         
2013;2011002437;131059;LA DERNIERE RECRUE;THRILLER;FRANCE;DOPAMYNE FILMS                                                  ;TP;2013-07-03;NON;16;la derniere recrue;dopamyne films                                                  
2023;2020001553;152979;LA DERNIERE REINE;AVENTURES;ALGERIE;JOUR 2 FETE;TP;2023-04-19;OUI;62;la derniere reine;jour 2 fete
2009;2008084044;118483;LA DERNIERE SAISON (COMBALIMON);DOCUMENTAIRE;FRANCE;EUROZOOM                                                        ;TP;2009-01-21;OUI;7;la derniere saison (combalimon);eurozoom                                                        
2020;2018002379;148850;DERNIERE VIE DE SIMON (LA);FANTASTIQUE;FRANCE;JOUR 2 FETE;TP;2020-02-05;OUI;53;la derniere vie de simon;jour 2 fete
2012;1900024951;115915;LA DÉSINTÉGRATION;DRAME;FRANCE;PYRAMIDE                                                        ;TP;2012-02-15;OUI;56;la désintégration;pyramide                                                        
2013;2013002296;137857;LA DETTE;DOCUMENTAIRE;FRANCE;DIRECTION HUMAINE DES RESSOURCES - OEUVRIERS ASSOCIES           ;TP;2013-09-25;OUI;4;la dette;direction humaine des ressources - oeuvriers associes           
2012;2012002473;134781;LA DETTE;DRAME;POLOGNE / FRANCE;FONDIVINA                                                       ;TP;2012-09-12;OUI;12;la dette;fondivina                                                       
1998;1998093510;092673;LA DETTE;COMEDIE DRAMATIQUE;COLOMBIE / FRANCE;LES FILMS DU PARADOXE                                           ;TP;1998-09-16;OUI;2;la dette;les films du paradoxe                                           
2017;2017001717;146572;LA DEUXIEME ETOILE;COMEDIE;FRANCE;MARS FILMS                                                      ;TP;2017-12-13;NON;446;la deuxieme etoile;mars films                                                      
2001;2001093190;095496;LA DEVINIERE;DOCUMENTAIRE;BELGIQUE / FRANCE;CARA M;TP;2001-04-25;OUI;3;la deviniere;cara m
2009;2008083619;111805;LA DIFFERENCE C EST QUE C EST PAS PAREIL;COMEDIE;FRANCE / LUXEMBOURG / BELGIQUE;ZELIG FILMS                                                     ;TP;2009-05-20;NON;22;la difference c est que c est pas pareil;zelig films                                                     
2006;1900025013;116203;LA DIGNITE DU PEUPLE;DOCUMENTAIRE;ARGENTINE;AD VITAM                                                        ;TP;2006-09-27;OUI;16;la dignite du peuple;ad vitam                                                        
1999;1999093196;093908;LA DILETTANTE;COMEDIE;FRANCE;FILMS DE LA GOUTTE D'OR;TP;1999-07-07;OUI;75;la dilettante;films de la goutte d'or
2022;2021000751;154946;LA DISPARITION ?;DOCUMENTAIRE;FRANCE;REZO FILMS;TP;2022-02-09;OUI;32;la disparition ?;rezo films
2010;2010000741;125916;LA DISPARITION D'ALICE CREED;THRILLER;GRANDE BRETAGNE;LES FILMS DU CHERCHE MIDI;12;2010-06-30;OUI;59;la disparition d alice creed;les films du cherche midi
2007;2007093334;109468;LA DISPARUE DE DEAUVILLE;POLICIER;FRANCE;SOCIETE NOUVELLE DE DISTRIBUTION                                ;TP;2007-05-23;NON;213;la disparue de deauville;societe nouvelle de distribution                                
1997;1997093100;090218;LA DIVINE POURSUITE;COMEDIE;FRANCE;AMLF PARIS;TP;1997-04-30;NON;44;la divine poursuite;amlf paris
2009;1900026114;120087;LA DOMINATION MASCULINE;DOCUMENTAIRE;BELGIQUE / FRANCE;UGC DISTRIBUTION                                                ;TP;2009-11-25;OUI;42;la domination masculine;ugc distribution                                                
2017;2016000526;143954;LA DORMEUSE DUVAL;COMEDIE;FRANCE;QUIZAS;TP;2017-02-22;OUI;10;la dormeuse duval;quizas
2015;2012001834;133857;LA DOUBLE CROISÉE;COMEDIE;FRANCE;LES FILMS SAINT ANDRE DES ARTS;TP;2015-03-18;NON;1;la double croisée;les films saint andre des arts
2006;2006083188;111940;LA DOUBLURE;COMEDIE;FRANCE / ITALIE;GAUMONT COLUMBIA TRISTAR FILMS;TP;2006-03-29;NON;799;la doublure;gaumont columbia tristar films
2018;2016003833;145410;DOULEUR (LA);DRAME;FRANCE / BELGIQUE;LES FILMS DU LOSANGE                                            ;TP;2018-01-24;OUI;141;la douleur;les films du losange                                            
2016;2016000866;128962;LA DREAM TEAM;COMEDIE;FRANCE;PARAMOUNT PICTURES FRANCE                                       ;TP;2016-03-23;NON;325;la dream team;paramount pictures france                                       
2015;1900024318;113326;LA DUCHESSE DE VARSOVIE;COMEDIE DRAMATIQUE;FRANCE;EPICENTRE FILMS                                                 ;TP;2015-02-25;OUI;20;la duchesse de varsovie;epicentre films                                                 
2014;2011003101;131480;LA DUNE;DRAME;FRANCE / ISRAEL;LE PACTE                                                        ;TP;2014-08-13;OUI;19;la dune;le pacte                                                        
2017;2017003147;147707;LA EDUCACION DEL REY;THRILLER;ARGENTINE;URBAN DISTRIBUTION                                              ;TPA;2017-11-22;OUI;6;la educacion del rey;urban distribution                                              
2017;2017004468;;LA FABLE DU COQ;COMEDIE DRAMATIQUE;FRANCE;LES FILMS SAINT ANDRE DES ARTS;TP;2017-12-06;NON;1;la fable du coq;les films saint andre des arts
1997;1997073173;087960;LA FABRIQUE DE L'HOMME OCCIDENTAL;DOCUMENTAIRE;FRANCE;L'ENTREPOT                                                      ;TP;1997-04-23;OUI;1;la fabrique de l homme occidental;l'entrepot                                                      
2022;2022001777;;LA FABRIQUE DES PANDEMIES;DOCUMENTAIRE;FRANCE;M2R FILMS;TP;2022-05-18;NON;4;la fabrique des pandemies;m2r films
2008;2007094087;115800;LA FABRIQUE DES SENTIMENTS;COMEDIE DRAMATIQUE;FRANCE / BELGIQUE;LES FILMS DU LOSANGE                                            ;TP;2008-02-06;OUI;111;la fabrique des sentiments;les films du losange                                            
2016;2016000441;143968;LA FABULEUSE GILLY HOPKINS;COMEDIE DRAMATIQUE;ETATS UNIS;CHRYSALIS FILMS                                                 ;TP;2016-02-24;NON;74;la fabuleuse gilly hopkins;chrysalis films                                                 
2016;2016002782;145205;LA FABULEUSE HISTOIRE DE CELESTINE;DOCUMENTAIRE;FRANCE;LES FILMS INDEPENDANTS D'EXCEPTION                              ;TP;2016-10-12;NON;4;la fabuleuse histoire de celestine;les films independants d'exception                              
2014;2013003060;138327;LA FABULEUSE HISTOIRE DE MONSIEUR RIQUET;DOCUMENTAIRE;FRANCE;CLAIRSUD                                                        ;TP;2014-02-05;OUI;6;la fabuleuse histoire de monsieur riquet;clairsud                                                        
2007;2007083560;108122;LA FACE CACHEE;DRAME;FRANCE / BELGIQUE;WILD BUNCH                                                      ;TP;2007-09-19;NON;131;la face cachee;wild bunch                                                      
2015;2015001781;142439;LA FACE CACHÉE DE MARGO;AVENTURES;ETATS UNIS;TWENTIETH CENTURY FOX FRANCE INC                                ;TP;2015-08-12;NON;264;la face cachée de margo;twentieth century fox france inc                                
2007;2007293320;117818;LA FAILLE;THRILLER;ETATS UNIS;METROPOLITAN FILMEXPORT                                         ;TP;2007-05-09;NON;310;la faille;metropolitan filmexport                                         
2019;2016001883;137631;LA FAMEUSE INVASION DE LA SICILE PAR LES OURS;ANIMATION;FRANCE / ITALIE;PATHE FILMS;TP;2019-10-09;OUI;356;la fameuse invasion de la sicile par les ours;pathe films
2019;2017002849;147139;LA FAMILIA;DRAME;VENEZUELA;TAMASA DISTRIBUTION                                             ;TPA;2019-04-10;OUI;5;la familia;tamasa distribution                                             
2019;2019004386;152003;LA FAMILLE ADDAMS;ANIMATION;ETATS UNIS;UNIVERSAL PICTURES INTERNATIONAL FRANCE SAS                     ;TP;2019-12-04;NON;583;la famille addams;universal pictures international france sas                     
2021;2021002303;155840;LA FAMILLE ADDAMS 2 UNE VIREE EN ENFER;ANIMATION;ETATS UNIS;UNIVERSAL PICTURES INTERNATIONAL FRANCE SAS;TP;2021-10-13;NON;606;la famille addams 2 une viree en enfer;universal pictures international france sas
2023;2021003376;157791;LA FAMILLE ASADA;DRAME;JAPON;ART HOUSE;TP;2023-01-25;OUI;113;la famille asada;art house
2014;2013002169;137757;LA FAMILLE BELIER;COMEDIE;FRANCE / BELGIQUE;MARS FILMS                                                      ;TP;2014-12-17;NON;579;la famille belier;mars films                                                      
2013;2012003789;135731;LA FAMILLE DE NICKY;DRAME;REPUBLIQUE TCHEQUE / SLOVAQUIE;COSMOPOLIS DISTRIBUTION                                         ;TP;2013-03-06;OUI;5;la famille de nicky;cosmopolis distribution                                         
2003;2003283129;107315;LA FAMILLE DELAJUNGLE, LE FILM;ANIMATION;ETATS UNIS;PARAMOUNT PICTURES FRANCE                                       ;TP;2003-04-02;NON;468;la famille delajungle, le film;paramount pictures france                                       
2000;2000293566;100316;LA FAMILLE FOLDINGUE;COMEDIE;ETATS UNIS;PARAMOUNT PICTURES FRANCE                                       ;TP;2000-08-30;NON;511;la famille foldingue;paramount pictures france                                       
2024;2023002796;159632;FAMILLE HENNEDRICKS (LA);COMEDIE;FRANCE;GAUMONT;TP;2024-06-26;;628;la famille hennedricks;gaumont
2004;2004903604;110494;LA FAMILLE INDIENNE;COMEDIE DRAMATIQUE;INDE;BODEGA FILMS                                                    ;TP;2004-05-26;OUI;2;la famille indienne;bodega films                                                    
2010;2010001347;126533;LA FAMILLE JONES;COMEDIE;ETATS UNIS;UGC DISTRIBUTION                                                ;TP;2010-11-17;NON;101;la famille jones;ugc distribution                                                
2008;2008293062;119227;LA FAMILLE SAVAGE;DRAME;ETATS UNIS;TWENTIETH CENTURY FOX FRANCE INC                                ;TP;2008-02-20;OUI;21;la famille savage;twentieth century fox france inc                                
2008;2008383804;121762;LA FAMILLE SURICATE;DOCUMENTAIRE;GRANDE BRETAGNE;WILD BUNCH                                                      ;TP;2008-10-15;NON;234;la famille suricate;wild bunch                                                      
2002;2002293164;104947;LA FAMILLE TENENBAUM;COMEDIE;ETATS UNIS;GAUMONT BUENA VISTA INTERNATIONAL;TP;2002-03-13;NON;79;la famille tenenbaum;gaumont buena vista international
2009;1900025831;119231;LA FAMILLE WOLBERG;DRAME;FRANCE / BELGIQUE;PYRAMIDE                                                        ;TP;2009-12-02;OUI;47;la famille wolberg;pyramide                                                        
2000;1999083503;096111;LA FAUSSE SUIVANTE;COMEDIE;FRANCE;PYRAMIDE                                                        ;TP;2000-03-08;OUI;18;la fausse suivante;pyramide                                                        
2006;2006093868;112092;LA FAUTE A FIDEL;COMEDIE DRAMATIQUE;FRANCE / ITALIE;GAUMONT COLUMBIA TRISTAR FILMS;TP;2006-11-29;OUI;99;la faute a fidel;gaumont columbia tristar films
2001;2001093114;094323;LA FAUTE A VOLTAIRE;COMEDIE DRAMATIQUE;FRANCE;REZO FILMS;TP;2001-02-14;OUI;62;la faute a voltaire;rezo films
2019;2018003918;150093;LA FAVORITE;DRAME;GRANDE BRETAGNE;TWENTIETH CENTURY FOX FRANCE INC                                ;TP;2019-02-06;OUI;174;la favorite;twentieth century fox france inc                                
2011;2010001176;126355;LA FEE;COMEDIE;FRANCE  / BELGIQUE;MK2 FILMS;TP;2011-09-14;OUI;64;la fee;mk2 films
2003;2003093171;105417;LA FELICITA LE BONHEUR NE COUTE RIEN;DRAME;ITALIE / FRANCE;EUROPACORP DISTRIBUTION                                         ;TP;2003-11-12;OUI;31;la felicita le bonheur ne coute rien;europacorp distribution                                         
2015;2015001815;142638;LA FEMME AU TABLEAU;DRAME;GRANDE BRETAGNE;SOCIETE NOUVELLE DE DISTRIBUTION                                ;TP;2015-07-15;NON;185;la femme au tableau;societe nouvelle de distribution                                
2010;2010001194;126381;LA FEMME AUX 5 ELEPHANTS;DOCUMENTAIRE;SUISSE;NOUR FILMS                                                      ;TP;2010-10-13;OUI;3;la femme aux 5 elephants;nour films                                                      
2015;2014001272;139531;LA FEMME BOURREAU;POLICIER;FRANCE;LUNA PARK FILMS                                                 ;TP;2015-03-11;NON;1;la femme bourreau;luna park films                                                 
2005;2005993311;110878;LA FEMME D EAU;COMEDIE DRAMATIQUE;JAPON;FILMS SANS FRONTIERES                                           ;TP;2005-05-04;OUI;1;la femme d eau;films sans frontieres                                           
1997;1997093626;078285;LA FEMME DE CHAMBRE DU TITANIC;COMEDIE DRAMATIQUE;FRANCE / ITALIE / ESPAGNE;UFD;TP;1997-11-05;NON;84;la femme de chambre du titanic;ufd
2015;2015002052;142721;LA FEMME DE COMPAGNIE;DRAME;ETATS UNIS;ZOOTROPE PRODUCTIONS                                            ;TP;2015-07-22;OUI;6;la femme de compagnie;zootrope productions                                            
2004;2004093615;108578;LA FEMME DE GILLES;COMEDIE DRAMATIQUE;FRANCE / BELGIQUE / LUXEMBOURG;MARS DISTRIBUTION;TP;2004-09-15;OUI;43;la femme de gilles;mars distribution
2019;2019002233;151054;LA FEMME DE MON FRERE;COMEDIE DRAMATIQUE;CANADA;MEMENTO FILMS DISTRIBUTION                                      ;TP;2019-06-26;OUI;133;la femme de mon frere;memento films distribution                                      
2004;2004993597;111072;LA FEMME DE SEISAKU;DRAME;JAPON;ZOOTROPE PRODUCTIONS                                            ;TP;2004-08-04;OUI;3;la femme de seisaku;zootrope productions                                            
2023;2022002981;158713;LA FEMME DE TCHAIKOVSKI;BIOGRAPHIE;RUSSIE;BAC FILMS DISTRIBUTION;TP;2023-02-15;OUI;148;la femme de tchaikovski;bac films distribution
1997;1997093275;088744;LA FEMME DEFENDUE;COMEDIE DRAMATIQUE;FRANCE;MARS FILMS;TP;1997-09-24;OUI;70;la femme defendue;mars films
2020;2020000835;152904;LA FEMME DES STEPPES, LE FLIC ET L'OEUF;COMEDIE;MONGOLIE;DIAPHANA DISTRIBUTION;TP;2020-08-19;OUI;57;la femme des steppes, le flic et l oeuf;diaphana distribution
1998;1997093579;091187;LA FEMME DU COSMONAUTE;COMEDIE;FRANCE / ESPAGNE;AFMD;TP;1998-06-03;NON;106;la femme du cosmonaute;afmd
2014;2014000149;138914;LA FEMME DU FERRAILLEUR;DRAME;BOSNIE HERZEGOVINE;ZOOTROPE PRODUCTIONS                                            ;TP;2014-02-26;OUI;12;la femme du ferrailleur;zootrope productions                                            
2022;2020000471;152415;LA FEMME DU FOSSOYEUR;DRAME;FINLANDE ;ORANGE STUDIO;TP;2022-04-27;OUI;46;la femme du fossoyeur;orange studio
1996;1996993170;089343;LA FEMME DU PORT;DRAME;MEXIQUE;COLIFILMS DISTRIBUTION;16;1996-03-27;OUI;3;la femme du port;colifilms distribution
2011;2010001175;126361;LA FEMME DU Vème;DRAME;FRANCE / POLOGNE;HAUT ET COURT DISTRIBUTION                                      ;TP;2011-11-16;OUI;48;la femme du vème;haut et court distribution                                      
2004;2004083357;108805;LA FEMME EST L AVENIR DE L HOMME;COMEDIE DRAMATIQUE;COREE / FRANCE;MK2 FILMS;TPA;2004-05-19;OUI;31;la femme est l avenir de l homme;mk2 films
2009;2008083879;112907;LA FEMME INVISIBLE;COMEDIE;FRANCE;SHELLAC                                                         ;TP;2009-07-22;OUI;20;la femme invisible;shellac                                                         
2012;2012000807;134073;LA FEMME QUI AIMAIT LES HOMMES;DRAME;ISRAEL;ZOOTROPE PRODUCTIONS                                            ;12;2012-07-11;OUI;9;la femme qui aimait les hommes;zootrope productions                                            
2003;2003993626;108751;LA FEMME QUI CROYAIT ETRE PRESIDENTE DES ETATS UNIS;COMEDIE;PORTUGAL;GEMINI FILMS;TP;2003-08-27;OUI;1;la femme qui croyait etre presidente des etats unis;gemini films
2017;2016004583;145826;LA FEMME QUI EST PARTIE;DRAME;PHILIPPINES;ARP MERMOZ;TP;2017-02-01;OUI;13;la femme qui est partie;arp mermoz
2020;2020002102;153673;LA FEMME QUI S’EST ENFUIE;DRAME;COREE DU SUD;CAPRICCI FILMS;TP;2020-09-30;OUI;39;la femme qui s’est enfuie;capricci films
2011;2010000548;128613;LA FEMME SANS PIANO;DRAME;ESPAGNE  / FRANCE;BODEGA FILMS                                                    ;TP;2011-07-13;OUI;8;la femme sans piano;bodega films                                                    
